Gene.Names	N1	N2	N3	N4	T6	T3	T1	T2	T4	T5	T7
HAPLN3	0	0	0	0	2.29E+08	9.24E+08	3.52E+08	2.83E+08	4.33E+08	2.11E+08	63100000
SRPX2	0	0	0	0	23400000	11200000	4.19E+08	1.49E+09	13600000	48100000	3410000
COL3A1	0	0	0	0	4588400	16600000	33500000	1.21E+08	23300000	17900000	2.70E+07
RAP1A	6811800	8180100	12600000	8177700	0	0	0	0	0	0	0
TAPBP	22600000	16300000	3419000	24500000	0	0	0	0	0	0	0
GPD1	73300000	3.60E+07	4.60E+07	1.80E+08	0	0	0	0	0	0	0
FBP2	74900000	11500000	22700000	24400000	0	0	0	0	0	0	0
SUOX	43400000	11600000	40700000	8471100	0	0	0	0	0	0	0
CLTB	57400000	31500000	1.22E+08	23800000	0	0	0	0	0	0	0
CLTA	74200000	70700000	2.53E+08	14900000	0	0	0	0	0	0	0
CLIC6	72100000	37100000	28700000	3300600	0	0	0	0	0	0	0
CST1	1.42E+08	39400000	4.52E+08	18400000	0	0	0	0	0	0	0
LAMC2	0	0	0	0	2684600	3212700	27100000	537970	64500000	1033000	5269500
SLC9A3R1	4.21E+08	3.99E+08	9.43E+08	66200000	3650200	6648200	2618300	5217900	6275000	11400000	1714400
RPS20	1.02E+09	7.46E+08	9.30E+08	5.29E+08	2.26E+08	1.81E+08	1.28E+08	1.25E+08	2.03E+08	2.58E+08	62400000
RPL8	7.93E+08	4.93E+08	8.01E+08	3.85E+08	1.01E+08	1.17E+08	26600000	1.10E+08	1.22E+08	85400000	89700000
POSTN	25100000	4.28E+08	78900000	3.38E+09	4.19E+10	8.80E+09	6.01E+10	3.28E+11	1.43E+10	2.46E+10	1.49E+10
VCAN	6.45E+08	8.22E+08	6.00E+08	2.21E+09	5.17E+09	2.93E+10	9.68E+09	1.69E+10	1.14E+10	1.12E+10	1.85E+09
COL12A1	35900000	1.76E+08	10700000	1.15E+09	5.42E+09	1.88E+09	1.94E+10	1.83E+10	6.46E+09	3.53E+09	3.05E+09
GSR	8.94E+08	1.03E+09	7.64E+08	5.69E+08	15500000	1.15E+08	40400000	48800000	69200000	2.04E+08	50300000
CLEC11A	0	0	0	2016500	70900000	13200000	2.14E+08	1.84E+09	3.50E+07	2.45E+08	6475200
SERPINF1	88600000	1.95E+08	1.25E+08	2.18E+08	8.50E+08	9.81E+08	2.98E+09	1.63E+09	5.04E+08	2.58E+09	7.38E+08
SERPINH1	1.66E+08	2.33E+08	9.83E+08	7.55E+08	5.01E+09	2.93E+09	2.79E+09	2.38E+09	3.25E+09	1.45E+09	7.60E+08
CTHRC1	0	0	0	17900000	2.13E+08	1.28E+08	7.89E+08	6.83E+08	36200000	3.10E+08	51300000
NPNT	0	1450100	0	0	9018100	7498400	9.86E+08	16300000	2.58E+08	7000700	18400000
THBS1	3.01E+08	83300000	1.60E+08	4.26E+08	1.82E+09	1.79E+09	2.15E+10	9.24E+09	2.25E+09	2.02E+09	1.27E+09
SPARC	0	0	0	35600000	1.71E+08	1.31E+08	1.32E+08	54800000	1.66E+08	1.01E+08	1.13E+08
BPI	0	0	0	6369000	7566800	5.02E+08	31900000	34200000	16800000	60100000	8641000
YBX1	48700000	16200000	69600000	9384700	973810	0	0	0	0	0	0
ERMP1	0	0	0	9207700	65800000	1.35E+08	17700000	8396800	65900000	11700000	16100000
COL7A1	5218900	0	0	0	1637900	1.02E+08	6.71E+09	5352300	3.12E+08	972730	6.96E+08
PMP2	17600000	1.74E+09	96800000	39900000	10700000	0	0	0	0	0	0
FKBP2	5.54E+08	4.71E+08	5.58E+08	1.10E+08	12100000	1.36E+08	5185900	12400000	15300000	64800000	7397600
RPL36	92400000	75700000	1.31E+08	15300000	9000700	0	0	0	0	0	0
PRELP	4.61E+08	1.93E+09	1.86E+09	1.11E+09	2.37E+09	1.23E+10	1.01E+10	7.08E+09	9.47E+09	1.55E+10	3.97E+09
QPRT	1.43E+08	1.38E+08	72700000	40900000	0	0	0	0	0	10600000	0
HYI	4391300	22500000	1.80E+07	5376600	1425400	0	0	0	0	0	0
PLIN1	10800000	1480400	1.35E+08	5.16E+08	5559500	0	0	0	0	0	0
SCRN2	32700000	1.50E+08	69100000	26600000	0	12700000	0	0	0	0	0
PCBD1	24500000	85300000	1.42E+08	20400000	0	0	0	0	15800000	0	0
LCN1	1.06E+11	1.12E+10	1.34E+11	1.42E+09	1811000	52300000	2800700	12800000	27300000	9.52E+09	17500000
